name,address,phone,cusine,email,state
"Greco's New York Pizzeria, Los Angeles","6814 Hollywood Blvd, Los Angeles, CA 90028-6102",+1 323-469-1696,"$,Quick Bites,American,Pizza,",,Los Angeles Restaurants
"n/naka, Los Angeles","3455 Overland Ave, Los Angeles, CA 90034-5419",+1 310-836-6252,"$$$$,Japanese,Sushi,Asian,",info@n-naka.com,Los Angeles Restaurants
"Brent's Delicatessen & Restaurant, Los Angeles","19565 Parthenia St, Los Angeles, CA 91324-3406",+1 818-886-5679,"$$ - $$$,American,Deli,Vegetarian Friendly,",marketing@brentsdeli.com,Los Angeles Restaurants
"Raffaello Ristorante, Los Angeles","400 S Pacific Ave, Los Angeles, CA 90731-2626",+1 310-514-0900,"$$ - $$$,Italian,Vegetarian Friendly,Vegan Options,",,Los Angeles Restaurants
"Providence, Los Angeles","5955 Melrose Ave, Los Angeles, CA 90038-3623",+1 323-460-4170,"$$$$,Seafood,Vegetarian Friendly,Gluten Free Options,",info@providenceLA.com,Los Angeles Restaurants
"Flake, Los Angeles","513 Rose Ave, Los Angeles, CA 90291-2605",+1 310-396-2333,"$,American,Cafe,Vegetarian Friendly,",paige@veniceflake.com,Los Angeles Restaurants
"Fatamorgana Gelato - Ice cream, Los Angeles","12021 Ventura Blvd Studio City, Los Angeles, CA 91604-2609",+1 818-606-0273,"$$ - $$$,Dessert,Italian,",info@fmgelato.com,Los Angeles Restaurants
"Maccheroni Republic, Los Angeles","332 S Broadway, Los Angeles, CA 90013-1208",+1 213-346-9725,"$$ - $$$,Italian,Mediterranean,Sicilian,",,Los Angeles Restaurants
"Angelini Osteria, Los Angeles","7313 Beverly Blvd, Los Angeles, CA 90036-2534",+1 323-297-0070,"$$ - $$$,Italian,Vegetarian Friendly,Vegan Options,",info@angeliniosteria.com,Los Angeles Restaurants
"Toast Bakery Cafe, Los Angeles","8221 W 3rd St, Los Angeles, CA 90048-4302",+1 323-655-5018,"$$ - $$$,American,Cafe,Vegetarian Friendly,",,Los Angeles Restaurants
